freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.884442221110556E+009;-7.610621452331543E-001;-4.240369812808820E-001;
5.888444222111055E+009;-8.105210065841675E-001;-3.030145863567781E-001;
5.892446223111556E+009;-8.451035022735596E-001;-1.699971307165678E-001;
5.896448224112056E+009;-8.506256937980652E-001;-3.650360655712906E-002;
5.900450225112557E+009;-8.385074138641357E-001;1.000048238897434E-001;
5.904452226113056E+009;-8.072771430015564E-001;2.285496494289749E-001;
5.908454227113557E+009;-7.461186647415161E-001;3.567672800893402E-001;
5.912456228114058E+009;-6.674643158912659E-001;4.691025952635850E-001;
5.916458229114557E+009;-5.733428001403809E-001;5.687011504726390E-001;
5.920460230115058E+009;-4.581501781940460E-001;6.510104348625401E-001;
5.924462231115558E+009;-3.349564671516419E-001;7.132173974329955E-001;
5.928464232116058E+009;-2.028257846832275E-001;7.547064698031142E-001;
5.932466233116558E+009;-6.765421479940414E-002;7.728409829980211E-001;
5.936468234117059E+009;6.845853477716446E-002;7.695968227049580E-001;
5.940470235117559E+009;2.032121419906616E-001;7.434879833938415E-001;
5.944472236118059E+009;3.292363584041596E-001;6.969425744375547E-001;
5.948474237118559E+009;4.473545551300049E-001;6.326193139734790E-001;
5.952476238119060E+009;5.514529347419739E-001;5.487167745182447E-001;
5.956478239119560E+009;6.408823132514954E-001;4.511167018200579E-001;
5.960480240120060E+009;7.137694954872131E-001;3.422229395325430E-001;
5.964482241120561E+009;7.694395184516907E-001;2.257411179066795E-001;
5.968484242121060E+009;8.054048418998718E-001;1.034443874711329E-001;
5.972486243121561E+009;8.209673762321472E-001;-2.187622969246193E-002;
5.976488244122061E+009;8.158168792724609E-001;-1.483543938327803E-001;
5.980490245122562E+009;7.933841347694397E-001;-2.714741051995447E-001;
5.984492246123061E+009;7.517459988594055E-001;-3.859791453336787E-001;
5.988494247123562E+009;6.977553963661194E-001;-4.942805435500732E-001;
5.992496248124062E+009;6.243845224380493E-001;-5.879019565547051E-001;
5.996498249124562E+009;5.407755970954895E-001;-6.727002350648257E-001;
6.000500250125063E+009;4.441156089305878E-001;-7.441602462901513E-001;
6.004502251125563E+009;3.418638110160828E-001;-7.991970999281810E-001;
6.008504252126063E+009;2.305416017770767E-001;-8.394720410435801E-001;
6.012506253126563E+009;1.136212199926376E-001;-8.647780310228415E-001;
6.016508254127064E+009;-1.035962835885584E-003;-8.687568576299736E-001;
6.020510255127564E+009;-1.229560673236847E-001;-8.596309770711229E-001;
6.024512256128064E+009;-2.401205897331238E-001;-8.325043209196881E-001;
6.028514257128564E+009;-3.527421355247498E-001;-7.900242472981002E-001;
6.032516258129065E+009;-4.586793482303619E-001;-7.246609032706474E-001;
6.036518259129564E+009;-5.527586340904236E-001;-6.518058017807750E-001;
6.040520260130065E+009;-6.371437907218933E-001;-5.599653870270163E-001;
6.044522261130566E+009;-7.097259163856506E-001;-4.561146332579804E-001;
6.048524262131065E+009;-7.666079401969910E-001;-3.432449478290547E-001;
6.052526263131566E+009;-8.043470382690430E-001;-2.187529008892027E-001;
6.056528264132066E+009;-8.281506299972534E-001;-8.888006542674440E-002;
6.060530265132567E+009;-8.262773752212524E-001;4.592892809041355E-002;
6.064532266133066E+009;-8.043861985206604E-001;1.778699961387654E-001;
6.068534267133567E+009;-7.588991522789002E-001;3.086306163500227E-001;
6.072536268134068E+009;-6.943843960762024E-001;4.316945015780566E-001;
6.076538269134567E+009;-6.052056550979614E-001;5.451357446077503E-001;
6.080540270135067E+009;-5.025922656059265E-001;6.379906927026012E-001;
6.084542271135568E+009;-3.828718662261963E-001;7.125508586118287E-001;
6.088544272136068E+009;-2.527796924114227E-001;7.660572080133548E-001;
6.092546273136568E+009;-1.127785444259644E-001;7.950432727718417E-001;
6.096548274137069E+009;2.731322869658470E-002;8.005263733777357E-001;
6.100550275137569E+009;1.656696498394013E-001;7.817016387500096E-001;
6.104552276138069E+009;2.960792779922485E-001;7.407133501161693E-001;
6.108554277138569E+009;4.192669689655304E-001;6.766827721695125E-001;
6.112556278139070E+009;5.282273292541504E-001;5.958213460098484E-001;
6.116558279139570E+009;6.183735728263855E-001;4.986824199879185E-001;
6.120560280140070E+009;6.922062039375305E-001;3.928603149222951E-001;
6.124562281140571E+009;7.469012737274170E-001;2.742006203481326E-001;
6.128564282141070E+009;7.820709943771362E-001;1.539337047034764E-001;
6.132566283141571E+009;8.019810318946838E-001;2.941678975032110E-002;
6.136568284142071E+009;7.960772514343262E-001;-9.526249978200010E-002;
6.140570285142571E+009;7.757446765899658E-001;-2.171893312632270E-001;
6.144572286143072E+009;7.409557700157166E-001;-3.323660228005039E-001;
6.148574287143572E+009;6.887771487236023E-001;-4.388380627366463E-001;
6.152576288144072E+009;6.229270696640015E-001;-5.394297569032788E-001;
6.156578289144572E+009;5.437766313552856E-001;-6.259063782773598E-001;
6.160580290145073E+009;4.549907445907593E-001;-7.036792268871368E-001;
6.164582291145573E+009;3.561828434467316E-001;-7.664652498290689E-001;
6.168584292146073E+009;2.461102604866028E-001;-8.150130320417371E-001;
6.172586293146573E+009;1.320797204971314E-001;-8.465686399464532E-001;
6.176588294147074E+009;1.523952558636665E-002;-8.619161292491214E-001;
6.180590295147574E+009;-1.033626347780228E-001;-8.635848173442631E-001;
6.184592296148074E+009;-2.205170094966888E-001;-8.457705341772930E-001;
6.188594297148575E+009;-3.380259871482849E-001;-8.084615151578067E-001;
6.192596298149075E+009;-4.484897553920746E-001;-7.544398236346864E-001;
6.196598299149574E+009;-5.485994219779968E-001;-6.887305597334148E-001;
6.200600300150075E+009;-6.397837996482849E-001;-6.027832748967166E-001;
6.204602301150576E+009;-7.188041210174561E-001;-5.076575249943791E-001;
6.208604302151075E+009;-7.809979319572449E-001;-3.968890210457245E-001;
6.212606303151576E+009;-8.231675624847412E-001;-2.756822035343752E-001;
6.216608304152076E+009;-8.503627777099609E-001;-1.484329114683081E-001;
6.220610305152576E+009;-8.543453216552734E-001;-1.961906030839115E-002;
6.224612306153076E+009;-8.381366729736328E-001;1.114169220803307E-001;
6.228614307153577E+009;-7.999543547630310E-001;2.420311504895007E-001;
6.232616308154078E+009;-7.391198277473450E-001;3.670857331315938E-001;
6.236618309154577E+009;-6.600838303565979E-001;4.778792676771707E-001;
6.240620310155077E+009;-5.619202852249146E-001;5.775042464101309E-001;
6.244622311155578E+009;-4.488171041011810E-001;6.561605989661268E-001;
6.248624312156078E+009;-3.214766383171082E-001;7.194870664324823E-001;
6.252626313156578E+009;-1.870201379060745E-001;7.546790415309008E-001;
6.256628314157079E+009;-4.801976680755615E-002;7.735415319307708E-001;
6.260630315157579E+009;9.563102573156357E-002;7.649449717187608E-001;
6.264632316158079E+009;2.320584803819656E-001;7.363882635556227E-001;
6.268634317158579E+009;3.587544858455658E-001;6.824950251703086E-001;
6.272636318159080E+009;4.771676361560822E-001;6.077824697186568E-001;
6.276638319159580E+009;5.809705257415772E-001;5.192591184715447E-001;
6.280640320160080E+009;6.695535182952881E-001;4.150510349447532E-001;
6.284642321160581E+009;7.361441254615784E-001;3.034721057250974E-001;
6.288644322161080E+009;7.795941829681397E-001;1.764674244203698E-001;
6.292646323161581E+009;8.079673051834106E-001;5.196606713912037E-002;
6.296648324162081E+009;8.149611353874207E-001;-7.548998493027731E-002;
6.300650325162581E+009;8.012465238571167E-001;-2.017222792497032E-001;
6.304652326163082E+009;7.706036567687988E-001;-3.179990256233534E-001;
6.308654327163582E+009;7.192049026489258E-001;-4.278488914860801E-001;
6.312656328164082E+009;6.555090546607971E-001;-5.307527526510363E-001;
6.316658329164582E+009;5.768737196922302E-001;-6.229963262824174E-001;
6.320660330165083E+009;4.884203076362610E-001;-7.008726598451471E-001;
6.324662331165583E+009;3.960601389408112E-001;-7.636959531530495E-001;
6.328664332166083E+009;2.862535715103149E-001;-8.094611423895826E-001;
6.332666333166583E+009;1.746164113283157E-001;-8.421942959304015E-001;
6.336668334167084E+009;5.915313959121704E-002;-8.577247017247422E-001;
6.340670335167584E+009;-5.802040919661522E-002;-8.598445891074029E-001;
6.344672336168084E+009;-1.704122573137283E-001;-8.423941102185769E-001;
6.348674337168585E+009;-2.839380204677582E-001;-8.091265122148060E-001;
6.352676338169085E+009;-3.955585062503815E-001;-7.599971651752113E-001;
6.356678339169584E+009;-4.962509572505951E-001;-6.965909112914021E-001;
6.360680340170085E+009;-5.902597904205322E-001;-6.167678602520270E-001;
6.364682341170586E+009;-6.702215075492859E-001;-5.238107521110387E-001;
6.368684342171085E+009;-7.388146519660950E-001;-4.186296966508449E-001;
6.372686343171586E+009;-7.911900877952576E-001;-3.008017726500991E-001;
6.376688344172086E+009;-8.252892494201660E-001;-1.747697357596751E-001;
6.380690345172586E+009;-8.405647277832031E-001;-4.692565401389572E-002;
6.384692346173086E+009;-8.340525627136231E-001;8.994735810706736E-002;
6.388694347173587E+009;-8.051521778106690E-001;2.211873986678898E-001;
6.392696348174088E+009;-7.532128691673279E-001;3.479732750530772E-001;
6.396698349174587E+009;-6.817781925201416E-001;4.667285772098032E-001;
6.400700350175087E+009;-5.925678610801697E-001;5.716952671227681E-001;
6.404702351175588E+009;-4.837426841259003E-001;6.600488851222125E-001;
6.408704352176088E+009;-3.600633144378662E-001;7.317080466792296E-001;
6.412706353176588E+009;-2.267077267169952E-001;7.766987999656114E-001;
6.416708354177089E+009;-8.992063254117966E-002;7.995642164661190E-001;
6.420710355177589E+009;4.845901206135750E-002;7.977119507484194E-001;
6.424712356178089E+009;1.871265619993210E-001;7.718916328454079E-001;
6.428714357178589E+009;3.142845630645752E-001;7.282010964146848E-001;
6.432716358179090E+009;4.300266504287720E-001;6.594211170071431E-001;
6.436718359179590E+009;5.367042422294617E-001;5.756015147811678E-001;
6.440720360180090E+009;6.250836253166199E-001;4.764118357871435E-001;
6.444722361180591E+009;6.959900259971619E-001;3.626655064539748E-001;
6.448724362181090E+009;7.458046674728394E-001;2.443096745564254E-001;
6.452726363181591E+009;7.753048539161682E-001;1.204330676535116E-001;
6.456728364182091E+009;7.885277867317200E-001;-6.747502246312404E-003;
6.460730365182591E+009;7.816238999366760E-001;-1.333443360232421E-001;
6.464732366183092E+009;7.546001076698303E-001;-2.545227465792187E-001;
6.468734367183592E+009;7.112979888916016E-001;-3.709854274582061E-001;
6.472736368184092E+009;6.543403863906860E-001;-4.791647441498403E-001;
6.476738369184592E+009;5.818314552307129E-001;-5.747717730050060E-001;
6.480740370185093E+009;4.977203905582428E-001;-6.592186366303245E-001;
6.484742371185593E+009;4.006914198398590E-001;-7.306307231373482E-001;
6.488744372186093E+009;2.986053526401520E-001;-7.847899391470540E-001;
6.492746373186593E+009;1.843911409378052E-001;-8.282484800209951E-001;
6.496748374187094E+009;7.148371636867523E-002;-8.541322198795517E-001;
6.500750375187594E+009;-4.793487489223480E-002;-8.587533352325386E-001;
6.504752376188094E+009;-1.623285114765167E-001;-8.533366597920755E-001;
6.508754377188595E+009;-2.767528593540192E-001;-8.274240779850450E-001;
6.512756378189095E+009;-3.853496313095093E-001;-7.856946421338850E-001;
6.516758379189594E+009;-4.914925098419190E-001;-7.294741354620475E-001;
6.520760380190095E+009;-5.856679081916809E-001;-6.573772108708262E-001;
6.524762381190596E+009;-6.690678596496582E-001;-5.705434748157054E-001;
6.528764382191095E+009;-7.418662309646606E-001;-4.701436013586500E-001;
6.532766383191596E+009;-7.965089678764343E-001;-3.594773097214905E-001;
6.536768384192096E+009;-8.338307142257690E-001;-2.439139793255990E-001;
6.540770385192596E+009;-8.517428040504456E-001;-1.174496824045677E-001;
6.544772386193096E+009;-8.506590127944946E-001;1.363045116670172E-002;
6.548774387193597E+009;-8.295242786407471E-001;1.409089761423766E-001;
6.552776388194098E+009;-7.896646261215210E-001;2.669805855303812E-001;
6.556778389194597E+009;-7.278231978416443E-001;3.847492475010715E-001;
6.560780390195097E+009;-6.439180970191956E-001;4.949049249933178E-001;
6.564782391195598E+009;-5.457146763801575E-001;5.912014973291070E-001;
6.568784392196098E+009;-4.260652661323547E-001;6.691881149760023E-001;
6.572786393196598E+009;-3.014892637729645E-001;7.262308821444058E-001;
6.576788394197099E+009;-1.621642410755158E-001;7.635610419560274E-001;
